id,name,department_id
1,MEDELLIN,2
2,ABEJORRAL,2
3,ABRIAQUI,2
4,ALEJANDRIA,2
5,AMAGA,2
6,AMALFI,2
7,ANDES,2
8,ANGELOPOLIS,2
9,ANGOSTURA,2
10,ANORI,2
11,SANTA FE DE ANTIOQUIA,2
12,ANZA,2
13,APARTADO,2
14,ARBOLETES,2
15,ARGELIA,2
16,ARMENIA,2
17,BARBOSA,2
18,BELMIRA,2
19,BELLO,2
20,BETANIA,2
21,BETULIA,2
22,CIUDAD BOLIVAR,2
23,BRICENO,2
24,BURITICA,2
25,CACERES,2
26,CAICEDO,2
27,CALDAS,2
28,CAMPAMENTO,2
29,CANASGORDAS,2
30,CARACOLI,2
31,CARAMANTA,2
32,CAREPA,2
33,EL CARMEN DE VIBORAL,2
34,CAROLINA,2
35,CAUCASIA,2
36,CHIGORODO,2
37,CISNEROS,2
38,COCORNA,2
39,CONCEPCION,2
40,CONCORDIA,2
41,COPACABANA,2
42,DABEIBA,2
43,DONMATIAS,2
44,EBEJICO,2
45,EL BAGRE,2
46,ENTRERRIOS,2
47,ENVIGADO,2
48,FREDONIA,2
49,FRONTINO,2
50,GIRALDO,2
51,GIRARDOTA,2
52,GOMEZ PLATA,2
53,GRANADA,2
54,GUADALUPE,2
55,GUARNE,2
56,GUATAPE,2
57,HELICONIA,2
58,HISPANIA,2
59,ITAGUI,2
60,ITUANGO,2
61,JARDIN,2
62,JERICO,2
63,LA CEJA,2
64,LA ESTRELLA,2
65,LA PINTADA,2
66,LA UNION,2
67,LIBORINA,2
68,MACEO,2
69,MARINILLA,2
70,MONTEBELLO,2
71,MURINDO,2
72,MUTATA,2
73,NARINO,2
74,NECOCLI,2
75,NECHI,2
76,OLAYA,2
77,PENOL,2
78,PEQUE,2
79,PUEBLORRICO,2
80,PUERTO BERRIO,2
81,PUERTO NARE,2
82,PUERTO TRIUNFO,2
83,REMEDIOS,2
84,RETIRO,2
85,RIONEGRO,2
86,SABANALARGA,2
87,SABANETA,2
88,SALGAR,2
89,SAN ANDRES DE CUERQUIA,2
90,SAN CARLOS,2
91,SAN FRANCISCO,2
92,SAN JERONIMO,2
93,SAN JOSE DE LA MONTANA,2
94,SAN JUAN DE URABA,2
95,SAN LUIS,2
96,SAN PEDRO DE LOS MILAGROS,2
97,SAN PEDRO DE URABA,2
98,SAN RAFAEL,2
99,SAN ROQUE,2
100,SAN VICENTE FERRER,2
101,SANTA BARBARA,2
102,SANTA ROSA DE OSOS,2
103,SANTO DOMINGO,2
104,EL SANTUARIO,2
105,SEGOVIA,2
106,SONSON,2
107,SOPETRAN,2
108,TAMESIS,2
109,TARAZA,2
110,TARSO,2
111,TITIRIBI,2
112,TOLEDO,2
113,TURBO,2
114,URAMITA,2
115,URRAO,2
116,VALDIVIA,2
117,VALPARAISO,2
118,VEGACHI,2
119,VENECIA,2
120,VIGIA DEL FUERTE,2
121,YALI,2
122,YARUMAL,2
123,YOLOMBO,2
124,YONDO,2
125,ZARAGOZA,2
126,BARRANQUILLA,5
127,BARANOA,5
128,CAMPO DE LA CRUZ,5
129,CANDELARIA,5
130,GALAPA,5
131,JUAN DE ACOSTA,5
132,LURUACO,5
133,MALAMBO,5
134,MANATI,5
135,PALMAR DE VARELA,5
136,PIOJO,5
137,POLONUEVO,5
138,PONEDERA,5
139,PUERTO COLOMBIA,5
140,REPELON,5
141,SABANAGRANDE,5
142,SABANALARGA,5
143,SANTA LUCIA,5
144,SANTO TOMAS,5
145,SOLEDAD,5
146,SUAN,5
147,TUBARA,5
148,USIACURI,5
149,"BOGOTA, D.C.",6
150,CARTAGENA DE INDIAS,7
151,ACHI,7
152,ALTOS DEL ROSARIO,7
153,ARENAL,7
154,ARJONA,7
155,ARROYOHONDO,7
