name,roles,description
Cantidad de estudiantes,"[""professor""]",Numero total de estudiantes que participaran activamente en el desarrollo del proyecto de investigacion.
Tiempo de ejecucion,"[""professor""]","Duracion estimada del proyecto, especificada en semestres, desde su inicio hasta la finalizacion."
Titulo,"[""professor"",""student""]",Nombre o encabezado del proyecto que resume su objetivo central de forma clara y concisa.
Viabilidad,"[""professor""]","Evaluacion general de si el proyecto puede realizarse con los recursos, tiempo y condiciones disponibles."
Pertinencia con el grupo de investigacion y con el programa,"[""professor""]",Justificacion de como el proyecto se relaciona con las lineas del grupo de investigacion y los objetivos del programa academico.
Disponibilidad de docentes para su direccion y calificacion,"[""professor""]",Confirmacion de que hay docentes disponibles y capacitados para orientar y evaluar el proyecto.
Calidad y correspondencia entre titulo y objetivo,"[""professor""]",Analisis de la coherencia entre el titulo propuesto y el objetivo general del proyecto.
Objetivo general del proyecto,"[""professor"",""student""]","Meta principal que se espera alcanzar con la ejecucion del proyecto, redactada de manera clara y medible."
Descripcion del proyecto de investigacion,"[""professor"",""student""]","Resumen amplio del proyecto que incluya el contexto, el problema, la metodologia, los beneficiarios y el impacto esperado."
Comentarios,"[""committee_leader""]",Comentarios
