investigation_line_id,name,description
30,Sin area,Indica que el programa aun no tiene un area tematica asignado.
1,Procesamiento de senales,"En el area del procesamiento de senales el grupo realiza aportes en el area de las telecomunicaciones para el procesamiento de senales utilizadas en la transmision de y recepcion de senales de voz, datos e imagenes. En biotecnologia se adelantan proyectos para el diagnostico de enfermedades, y monitorear el estado de salud de los pacientes."
1,Robotica,"La investigacion en robotica es un campo en constante evolucion, y los investigadores de GPS estan en pro del desarrollo de robots que sean mas inteligentes, autonomos y capaces de interactuar con el mundo real. En los topicos de robotica movil, control robotico y trabajo colaborativo."
1,Instrumentacion electronica,"El grupo GPS ha estado aplicando la instrumentacion electronica en la medicion, control y analisis de senales fisicas que puedan ser aplicados en sistemas de control mediante la aplicacion de sensores y actuadores para controlar el comportamiento de un sistema fisico. Los investigadores GPS estan en la busqueda de nuevos sistemas de control que sean mas eficientes, precisos y adaptables."
2,Telecomunicaciones,"La investigacion en robotica es un campo en constante evolucion, y los investigadores de GPS estan en pro del desarrollo de robots que sean mas inteligentes, autonomos y capaces de interactuar con el mundo real. En los topicos de robotica movil, control robotico y trabajo colaborativo.El grupo se encuentra actualmente en el estudio de redes de proxima generacion con la investigacion en el uso de laseres aleatorios para la transmision de informacion."
3,Modelamiento,Paradigmas y tecnicas de representacion de los procesos de negocio conducentes al analisis y diseno optimo en desarrollo de software de calidad.
3,Desarrollo,"Modelos de desarrollo basados en las fases del ciclo de vida del software y del proceso de ingenieria, configurados segun las necesidades de diversos tipos de proyectos."
3,Infraestructura de TI,Redes y telematica para el soporte de los proyectos de tecnologias de la informacion en las organizaciones.
3,Educacion en Ingenieria,Estrategias de incorporacion de modelos de desarrollo y buenas practicas de la industria del software en las actividades de ensenanza y aprendizaje para la formacion de ingenieros para la industria del software.
3,Tendencias emergentes en computacion,Incorporacion de los avances e innovaciones mas recientes en computacion con una vision de ingenieria del software.
4,Seguridad informatica,Analisis de las practicas organizacionales desde la perspectiva de la proteccion de datos.
4,Tipologia de sistemas,"Estudio de tipos de sistemas de informacion de acuerdo con las areas funcionales y los niveles de la organizacion, para la formulacion de requerimientos en proyectos de tecnologias de la informacion que apoyen la toma de decisiones."
4,Analitica de datos,Soporte a la toma de decisiones organizacionales con base en el analisis de sus datos con diferentes tecnicas computacionales.
4,Madurez organizacional,Formacion de capacidades organizacionales para la incorporacion de tecnologias de la informacion a sus procesos.
4,Arquitectura empresarial,Marcos de referencia para la alineacion de los objetivos organizacionales con sus procesos soportados en tecnologias de la informacion.
4,Metodologias agiles,Metodologias para la gestion del trabajo en equipo en proyectos de desarrollo e incorporacion de tecnologias de la informacion en las organizaciones.
5,Desarrollo de recursos educativos,Desarrollo de recursos digitales que por su nivel de complejidad o interactividad exceden las caracteristicas de las herramientas de usuario final y en cambio exigen abordaje desde la ingenieria del software.
6,Metodos cuantitativos para la toma de decisiones,"En esta area se busca adoptar modelos que permitan representar la realidad de las tendencias experimentales en los diferentes sectores economicos, con el fin de proponer estrategias para apoyar la toma de decisiones."
6,Gestion logistica,"Considerando que la logistica como parte de la cadena de suministros que es un eslabon entre las organizaciones y el punto de destino en el cual se busca satisfacer a los clientes, asi que la logistica se convierte en uno factor importante que influye en la competitividad de las organizaciones; por tanto, las actividades deben estar planeadas y monitoreadas en el marco de los objetivos estrategicos de la organizacion."
6,Gestion productiva,"Implica comprender el diseno y desarrollo de productos, el diseno del proceso, la distribucion de la planta, la planificacion de la produccion, la estandarizacion de las operaciones, y el control de la produccion con el fin mejorar la eficacia, la eficiencia y la productividad de las organizaciones."
6,Gestion industrial,"En esta area se busca el mejoramiento de los procesos administrativos y productivos de las organizaciones, con el fin de mejorar su competitividad."
15,Innovacion,"Se enfoca en analizar los factores que puedan favorecer la innovacion empresarial y estudiar los efectos de la innovacion en el rendimiento, la ventaja competitiva y la supervivencia de las empresas, a partir de los principios establecidos en el Manual de Oslo desarrollado por La Organizacion para la Cooperacion y el Desarrollo Economico-OCDE."
15,Responsabilidad Social,"Se vinculan proyectos enfocados en la conservacion y preservacion de los recursos naturales y sus ecosistemas desde el ambito regional, nacional e internacional, a partir de los lineamientos dados por los 17 Objetivos de Desarrollo Sostenible vinculados con la agenda 2030 establecida por la Organizacion de Naciones Unidas - ONU."
15,Emprendimiento,"Promueve el desarrollo de estudios enfocados en el analisis del fenomeno del emprendimiento a nivel regional, nacional e internacional, asi como proyectos para el desarrollo de nuevos negocios y fortalecimiento de aquellos que estan en su etapa temprana Startup."
16,Gestion Empresarial,Abarca estudios asociados con el desarrollo de estrategias y medicion del desempeno de las organizaciones y entidades publicas.
16,Internacionalizacion,"Promueve la generacion de conocimientos relacionados en los temas de internacionalizacion empresarial con estudios sectoriales, procesos de logistica y distribucion, analisis economicos y de integracion regional."
16,Marketing Estrategico,Esta orientada en proyectos basados en la mezcla de estrategias de mercadotecnia.
